Partner University,PU Course Code,PU Course Title,NUS Course Code
"Uni College London, Uni London",BIOL 0003,Introduction to Genetics,LSM2105
"Uni College London, Uni London",BIOL 0014,Fundamentals of Ecology,LSM2251
"Uni College London, Uni London",BIOC 0017,Cancer Biology,LSM3991
"Uni College London, Uni London",CELL 0013,Functional Genetics of Model Systems,LSM4252
"Uni College London, Uni London",MATH 0048,Mathematical Analysis,MA2108
"Uni College London, Uni London",MATH 0062,Mathematics and Statistics of Algorithmic Trading,MA4991
"Uni College London, Uni London",MATH 0088,Quantitative and Computational Finance,QF3101
"Uni College London, Uni London",MATH 0031,Financial Mathematics,QF3103
"Uni College London, Uni London",STAT 0021,Introductory Statistical Methods and Computing,ST1131
"Uni College London, Uni London",STAT 0023,Computing for Practical Statistics,ST2137
City University of Hong Kong,GE 1346,The Chemists Kitchen (The Science of Food and Cooking),FST1991
"Uni College London, Uni London",STAT 0045,Statistical Design and Data Ethics,ST3232
"Uni College London, Uni London",STAT 0007,Stochastic Processes,ST3236
"Uni College London, Uni London",STAT 0011,Decision and Risk,ST4234
"Uni College London, Uni London",STAT 007,Stochastic Processes,ST4238
"Uni College London, Uni London",STAT 0010,Forecasting,ST4253
"Uni Illinois, Urbana-Champaign",MATH 466,Honours Complex Analysis,MA3211
"Uni Illinois, Urbana-Champaign",MATH 484,Nonlinear Programming,MA3236
"Uni Illinois, Urbana-Champaign",MATH 442,Statistical theory,ST2132
"Uni Illinois, Urbana-Champaign",STAT 425,Statistical Modeling I,ST3131
"Uni Illinois, Urbana-Champaign",STAT 433,Stochastic Processes,ST3236
City University of Hong Kong,GE 1352,How your brain works,LSM1991
"Uni Illinois, Urbana-Champaign",STAT 428,Statistical Computing,ST3247
"Uni Illinois, Urbana-Champaign",STAT 432,Basics of Statistical Learning,ST3248
"Uni Illinois, Urbana-Champaign",STAT 431,Applied Bayesian Analysis,ST4234
Uni N Carolina at Chapel Hill,MATH 566,Introduction to Numerical Analysis,DSA2102
Uni N Carolina at Chapel Hill,BIOL 350,Evolution and Human Affairs,LSM3252
Uni N Carolina at Chapel Hill,EMES 442,Marine Biology,LSM4261
Uni N Carolina at Chapel Hill,BIOL 457,Marine Biology.,LSM4261
Uni N Carolina at Chapel Hill,MATH 233,Calculus of Functions of Several Variables,MA2104
Uni N Carolina at Chapel Hill,MATH 233H,Multi Vari Calc I,MA2104
Uni N Carolina at Chapel Hill,MATH 521,Advanced Calculus I,MA2311
City University of Hong Kong,CHEM 1200,Discovery in Biology,LSM1991
Uni N Carolina at Chapel Hill,MATH 681,Introductory Topology,MA3209
Uni N Carolina at Chapel Hill,MATH 550,Topology,MA3209
Uni N Carolina at Chapel Hill,MATH 523,Functions of a Complex Variable with Applications.,MA3211
Uni N Carolina at Chapel Hill,MATH 524,Elementary Differential Equations,MA3220
Uni N Carolina at Chapel Hill,MATH 661,Scientific Computation I,MA3227
Uni N Carolina at Chapel Hill,STOR 612,Foundations Of Optimization,MA3252
Uni N Carolina at Chapel Hill,STOR 415,Introduction to Optimization,MA3252
Uni N Carolina at Chapel Hill,MATH 564,Mathematical Modeling in Life Sciences,MA3264
Uni N Carolina at Chapel Hill,STOR 555,Mathematical Statistics,ST2132
Uni N Carolina at Chapel Hill,MATH 533,Regression Analysis,ST3131
City University of Hong Kong,CHEM 4078,Aquatic Ecology,LSM3254
Uni N Carolina at Chapel Hill,STOR 455,Methods of Data Analysis,ST3131
Uni N Carolina at Chapel Hill,STOR 445,Stochastic Modeling,ST3236
Uni N Carolina at Chapel Hill,STOR 641,Stochastic Models in Operations Research,ST3236
Uni N Carolina at Chapel Hill,STOR 572,Simulation for Analytics,ST3247
Uni N Carolina at Chapel Hill,STOR 556,Time Series Data Analysis,ST4253
Uni N Carolina at Chapel Hill,STOR 475,Healthcare Risk Analytics,ST4991
Uni N Carolina at Chapel Hill,STOR 520,Statistical Computing for Data Science,ST4991
"Uni of Michigan, Ann Arbor",MATH 663,Nonlinear Programming,DSA3102
"Uni of Michigan, Ann Arbor",EECS 203,Discrete Math,MA1100
"Uni of Michigan, Ann Arbor",MATH 423,Mathematics of Finance,QF2104
City University of Hong Kong,CHEM 4078A,Aquatic Ecology,LSM3254
"Uni of Michigan, Ann Arbor",ECON 451,Intermediate Introduction to Statistics and Econometrics I,ST2132
"Uni of Michigan, Ann Arbor",STATS 426,Introduction to Theoretical Statistics,ST2132
"Uni of Michigan, Ann Arbor",STATS 610,Statistical Theory I,ST2132
"Uni of Michigan, Ann Arbor",STATS 413,Applied Regression Analysis,ST3131
"Uni of Michigan, Ann Arbor",STATS 401,Applied Statistical Methods II,ST3131
"Uni of Michigan, Ann Arbor",ECON 452,Intermediate Introduction to Statistics and Econometrics II,ST3131
"Uni of Michigan, Ann Arbor",DATASCI 500,Statistical Learning I: Regression,ST3131
"Uni of Michigan, Ann Arbor",STATS 315,Statistics and Artificial Intelligence,SX2996
Uni of Newcastle upon Tyne,PHY 1025,Introductory Quantum Mechanics,PC2130
Uni of Newcastle upon Tyne,MAS 3918,Topics in Statistical Modelling A,ST3991
City University of Hong Kong,BMS 3101,Cell Transport and Signalling,LSM3991
Uni of Newcastle upon Tyne,MAS 3906,Generalized Linear Models,ST4233
Uni of Newcastle upon Tyne,MAS 3902,Bayesian Inference,ST4234
Uni of Newcastle upon Tyne,MAS 2903,Introduction to Bayesian methods,ST4234
Uni of Newcastle upon Tyne,MAS 3907,Big Data Analytics,ST4250
Uni of Wisconsin-Madison,MA 222,CALCULUS AND ANALYTIC GEOMETRY 2,MA2104
Uni of Wisconsin-Madison,MA 514,Numerical Analysis,MA2213
Uni of Wisconsin-Madison,FIN 330,Derivative Securities,QF3101
Uni of Wisconsin-Madison,STAT 333,Applied Regression Analysis,ST3131
University College Dublin,CHEM 10080,Inorganic Chemistry,CM1991
University College Dublin,FDSC 10010,Food Diet and Health,FST1991
City University of Hong Kong,BMS 2008,Hematology I,LSM3991
University College Dublin,FDSC 30020,Food Analysis I,FST2107
University College Dublin,FDSC 40030,FOOD PROCESS TECHNOLOGY I,FST3103
University College Dublin,FDSC 3007,PRODUCT DEVELOPMENT,FST3105
University College Dublin,FDSC 20040,SENSORY ANALYSIS,FST3107
University College Dublin,FDSC 40520,FOOD MICROBIOLOGY AND SAFETY,FST3108
University College Dublin,PHPS 40610,RISK ANALYSIS IN FOOD SAFETY,FST3108
University College Dublin,HNUT 2002,Nutrition and Health,FST3202
University College Dublin,BIOL 10070,Biology for the Modern World,LSM1991
University College Dublin,MATH 10320,Mathematical Analysis,MA2108
University College Dublin,MATH 20310,"Groups, Rings and Fields",MA2202
City University of Hong Kong,MA 2508,Multi-variable calculus,MA2104
University College Dublin,MATH 30040,Complex Analysis,MA3211
University College Dublin,PHAR 4005,Drug Discovery and Development I,PHS4991
University College Dublin,PHAR 40330,Intro to Regulatory Affairs,PHS4991
University College Dublin,PHAR 40240,Regulatory Affairs for Life Sciences,PHS4991
University College Dublin,STAT 20100,Inferential Statistics,ST2132
University College Utrecht,UCSCICHE 31,Chemistry for Sustainability,CM4269
University Medical Ctr Utrecht,BMW 20705,DEVELOPMENTAL BIOLOGY,LSM3233
University Medical Ctr Utrecht,BMW 20605,Human Monogenic Disease,LSM3991
University Medical Ctr Utrecht,BMW 32607,Molecular (Onco)pathology,LSM3991
University Medical Ctr Utrecht,BMW 30805,Reproduction,LSM4252
City University of Hong Kong,MA 3523,Introduction to Abstract Algebra,MA2202
University of Alberta,BIOIN 301,Bioinformatics I,LSM2241
University of Alberta,MATH 225,Linear Algebra II,MA2101
University of Alberta,MATH 314,Analysis I,MA2108
University of Alberta,MATH 381,Numerical Methods,MA2213
University of Alberta,MATH 373,Introduction to Optimization,MA3252
University of Alberta,STAT 372,Mathematical Statistics,ST2132
University of Alberta,STAT 378,Applied Regression Analysis,ST3131
University of Alberta,MATH 281,Probability by Counting and Queuing,ST3236
University of Amsterdam,DSA 5062DAPR6Y,Data Processing,DSA2101
University of Amsterdam,MATH 5122COEN6Y,Combinatorial enumeration,MA2214
City University of Hong Kong,MA 3511,Ordinary Differential Equations,MA3220
Amsterdam University College,SCIY 900307,Text Mining,DSA4213
University of Amsterdam,MATH 5122AXVE6Y,Axiomatic Set Theory,MA3205
University of Amsterdam,MATH 5122TOPO6Y,Topology,MA3209
University of Amsterdam,MA 5122FUAN6Y,Functional Analysis,MA4211
University of Amsterdam,BZA 6012B0805Y,Operations Research - Stochastic Methods,MA4260
University of Amsterdam,SCI 6012B0460Y,Game Theory,MA4264
University of Amsterdam,MATH 5123TMML6Y,Mathematics of Machine Learning,MA4270
University of Amsterdam,SCI 50622SCP3Y,Scientific Programming 2,SX2882
University of Amsterdam,SCI 50621SCP3Y,Scientific Programming I,SX2882
